name,lang,confidence,english,japanese,kanji
Love Live! School Idol Project 2nd Season,en,0.9888356,Love Live! School Idol Project 2nd Season,raburaibu!sukuuruaidorupurojiekuto 2ndshiizun,ラブライブ！スクールアイドルプロジェクト 2ndシーズン
Love Live! Sunshine!!,en,1.0,Love Live! Sunshine!!,raburaibu!nikkou!!,ラブライブ！日光！！
Love Live! The School Idol Movie,en,1.0,Love Live! The School Idol Movie,raburaibu!sukuuruaidorumuubii,ラブライブ！スクールアイドルムービー
Love Stage!!,en,0.89176965,Love Stage!!,rabusuteeji!!,ラブステージ!!
Loveless,en,0.9613966,Loveless,raburesu,ラブレス
Lovely Movie: Itoshi no Muco,ja,0.41112247,Oh really moie: Itoshi no Muko,Lovely Movie: Itoshi no Muco,ぉゔぇｌｙ もゔぃえ： いとし の むこ
Lovely Movie: Itoshi no Muco Season 2,en,0.48058364,Lovely Movie: Itoshi no Muco Season 2,sutekinaeiga itoshinomuuko shiizun 2,素敵な映画 いとしのムーコ シーズン 2
Lovely★Complex,en,0.0,Lovely★Complex,Lovely★Complex,Lovely★Complex
Luck and Logic,en,1.0,Luck and Logic,rakkuandorojikku,ラックアンドロジック
Lucky☆Star,en,0.0,Lucky☆Star,Lucky☆Star,Lucky☆Star
Lupin III,en,0.65931183,Lupin III,rupansansei,ルパン三世
Lupin III (2015),en,0.65931183,Lupin III (2015),rupansansei (2015),ルパン三世 (2015)
Lupin III vs. Detective Conan: The Movie,en,1.0,Lupin III vs. Detective Conan: The Movie,rupansanseiVSmeitanteikonan THE MOVIE,ルパン三世VS名探偵コナン THE MOVIE
Lupin III: Babylon no Ougon Densetsu,ja,0.8760401,It's good: Babyon no Ogon Densetsu,Lupin III: Babylon no Ougon Densetsu,ぅぴん いいい： ばｂｙぉん の おうごん でんせつ
Lupin III: Cagliostro no Shiro,ilo,0.26333117,Lupin III: Cagliostro no Shiro,Lupin III: Cagliostro no Shiro,Lupin III: Cagliostro no Shiro
Lupin III: Dead or Alive,en,1.0,Lupin III: Dead or Alive,rupansansei deddo・oa・araivu,ルパン三世 デッド・オア・アライヴ
Lupin III: Fuuma Ichizoku no Inbou,ja,0.98895454,Ippin Ii: Fuuma Ichizoku's Inbou,Lupin III: Fuuma Ichizoku no Inbou,ぅぴん いいい： ふうま いちぞく の いんぼう
Lupin III: Kutabare! Nostradamus,la,0.6247037,Lupin III: Kutabare! Nostradamus,Lupin III: Kutabare! Nostradamus,Lupin III: Kutabare! Nostradamus
Lupin III: Lupin vs. Fukusei-ningen,ja,0.33132493,Lupin III: Lupin vs. Fukusei-ningen,Lupin III: Lupin vs. Fukusei-ningen,Lupin III: Lupin vs. Fukusei-ningen
Lupin III: Part II,en,0.5903303,Lupin III: Part II,rupansansei PARTⅡ,ルパン三世 PARTⅡ
Lupin III: Part III,en,0.7118747,Lupin III: Part III,rupansansei PARTIII,ルパン三世 PARTIII
Lupin III: Pilot Film,en,0.34449956,Lupin III: Pilot Film,Lupin III: Pilot Film,Lupin III: Pilot Film
Lupin the IIIrd: Jigen Daisuke no Bohyou,ja,0.5447088,Uppin Tee Ii rd: Jigen Daisuke's Bohyo,Lupin the IIIrd: Jigen Daisuke no Bohyou,ぅぴん てぇ いいいｒｄ： じげん だいすけ の ぼひょう
Lupin the Third: Mine Fujiko to Iu Onna,en,0.51743776,Lupin the Third: Mine Fujiko to Iu Onna,rupansansei minefujikotoonnatoiu,ルパン三世 峰不二子と女という
M3: Sono Kuroki Hagane,ja,0.88940156,M3: That black steel,M3: Sono Kuroki Hagane,Ｍ３： その くろき はがね
Maabou no Daikyousou,ja,0.61209357,"Well, a certain big race",Maabou no Daikyousou,まあ某 の 大競走
Maabou no Kinoshita Toukichirou,ja,0.73714775,"Well, a certain Tokichiro Kinoshita",Maabou no Kinoshita Toukichirou,まあ某 の 木下 藤吉郎
Mac the Movie,en,1.0,Mac the Movie,makku・za・muubii,マック・ザ・ムービー
Macademi Wasshoi!,ja,0.94743574,I'm not happy with Maca!,Macademi Wasshoi!,マカで未 わっしょい！
Mach Girl,en,0.92688084,Mach Girl,mahhagaaru,マッハガール
Mach GoGoGo,en,0.22701086,Mach GoGoGo,Mach GoGoGo,Mach GoGoGo
Mach GoGoGo (1997),en,0.22701086,Mach GoGoGo (1997),Mach GoGoGo (1997),Mach GoGoGo (1997)
Machine Hayabusa,ja,0.76079196,Matinee Hayabusa,Machine Hayabusa,マチネ はやぶさ
Machine Robo: Butchigiri Battle Hackers,en,0.8000249,Machine Robo: Butchigiri Battle Hackers,mashinrobo butchigiribatoruhakkaazu,マシンロボ ブッチギリバトルハッカーズ
Machine Robo: Revenge of Chronos,en,0.89540523,Machine Robo: Revenge of Chronos,mashinrobo kuronosunogyakushuu,マシンロボ クロノスの逆襲
Machine-Doll wa Kizutsukanai,ja,1.0,Matinee Doll Japanese Doesn't Hurt,Machine-Doll wa Kizutsukanai,マチネードッｌ 和 傷つかない
Macross,en,1.0,Macross,makurosu,マクロス
Macross 7,en,1.0,Macross 7,makurosu7,マクロス7
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,ja,0.94154984,Macros 7 Moie: Ginga is calling me!,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,まｃろっｓ ７ もゔぃえ： ぎんが が おれ を よんでいる！
Macross F,en,0.8946372,Macross F,makurosuF,マクロスF
Macross F Movie 1: Itsuwari no Utahime,ja,0.95706946,Macros F Moie 1: Utahime of false sickness,Macross F Movie 1: Itsuwari no Utahime,まｃろっｓ Ｆ もゔぃえ １： いつわり の うたひめ
Macross F Movie 2: Sayonara no Tsubasa,ja,0.6873438,Macros F Moie 2: Goodbye Wings,Macross F Movie 2: Sayonara no Tsubasa,まｃろっｓ Ｆ もゔぃえ ２： さよなら の つばさ
Macross FB7: Ore no Uta wo Kike!,ja,0.518184,Macros FB7: Listen to my song!,Macross FB7: Ore no Uta wo Kike!,まｃろっｓ ＦＢ７： おれ の うた を きけ！
Macross Plus Movie Edition,en,0.7647661,Macross Plus Movie Edition,makurosupurasugekijouban,マクロスプラス劇場版
Macross Δ,en,0.83060086,Macross Δ,makurosuDelta,マクロスΔ
Macross: Do You Remember Love?,en,1.0,Macross: Do You Remember Love?,makurosu ai・oboeteimasuka?,マクロス 愛・おぼえていますか?
Madang-Eul Naon Amtalg,su,0.9808639,Madang-Eul Naon Amtalg,Madang-Eul Naon Amtalg,Madang-Eul Naon Amtalg
Madlax,so,0.34408858,Madlax,Madlax,Madlax
Mado,ig,0.32684824,Mado,Mado,Mado
Madou King Granzort,en,0.5457519,Madou King Granzort,madououguranzooto,魔動王グランゾート
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,ja,0.6237954,Maete Rinck's Aoi Tori: Tyltyl Mytyl's Adventure,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,まえてｒぃんｃｋ の あおい とり： Ｔｙｌｔｙｌ Ｍｙｔｙｌ の ぼうけん りょこう
Mafukiden: Pandarian,sn,0.8514793,Mafukiden: Pandarian,Mafukiden: Pandarian,Mafukiden: Pandarian
Magi: Sinbad no Bouken (TV),ja,0.92911154,Magi: Shinba d's Adventure (TV),Magi: Sinbad no Bouken (TV),まぎ： しんばｄ の ぼうけん （ＴＶ）
Magi: The Kingdom of Magic,en,0.98815846,Magi: The Kingdom of Magic,magi: mahounooukoku,マギ: 魔法の王国
Magi: The Labyrinth of Magic,en,0.96044135,Magi: The Labyrinth of Magic,magi mahounomeikyuu,マギ 魔法の迷宮
Magic Kaito 1412,en,0.7297835,Magic Kaito 1412,majikkukaito 1412,まじっく快斗 1412
Magic Knight Rayearth,en,0.9801393,Magic Knight Rayearth,mahoukishireiaasu,魔法騎士レイアース
Magic Knight Rayearth II,en,0.76895165,Magic Knight Rayearth II,mahoukishireiaasuII,魔法騎士レイアースII
Magic Tree House,en,1.0,Magic Tree House,majikku tsurii hausu,マジック ツリー ハウス
Magical Canan,en,0.89460635,Magical Canan,majikarukanan,マジカルカナン
Magical Hat,en,1.0,Magical Hat,majikaruhatto,マジカルハット
Magical Nyan Nyan Taruto,tl,0.96467626,Magical Nyan Nyan Taruto,Magical Nyan Nyan Taruto,Magical Nyan Nyan Taruto
Magical★Taruruuto-kun,fi,0.370229,Magical★Taruruuto-kun,Magical★Taruruuto-kun,Magical★Taruruuto-kun
Magnerobo Ga-Keen,om,0.12849905,Magnerobo Ga-Keen,Magnerobo Ga-Keen,Magnerobo Ga-Keen
Mahoraba: Heartful days,en,0.4907541,Mahoraba: Heartful days,mahoraba haatofurunahibi,まほらば ハートフルな日々
Mahoromatic 2,en,0.8548686,Mahoromatic 2,mahoromateikku2,まほろまてぃっく2
Mahoromatic: Automatic Maiden,en,0.8668449,Mahoromatic: Automatic Maiden,mahoromateikku ~Automatic Maiden~,まほろまてぃっく ～Automatic Maiden～
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,ja,1.0,Magic school una r! The secret of the blue flow,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,魔法 学園 ぅなｒ！ 青い 流 の 秘密
Mahou Sensei Negima! Anime Final,ja,0.6904519,Magic teacher Negima! anime final,Mahou Sensei Negima! Anime Final,魔法 先生 ねぎま！ アニメ フィナｌ
Mahou Senshi Louie,zh-CN,0.90389085,Mahou Senshi Louie,Mahou Senshi Louie,Mahou Senshi Louie
Mahou Sensou,zh-CN,0.5557647,Mahou Sensou,Mahou Sensou,Mahou Sensou
Mahou Shoujo Lalabel,ja,0.310931,Mahou Shoujo Lalabel,Mahou Shoujo Lalabel,Mahou Shoujo Lalabel
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,ja,1.0,Magical Shojo Aabel: The sea calls summer rest,Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,まほう しょうじょ ぁぁべｌ： うみ が よぶ なつやすみ
Mahou Shoujo Lyrical Nanoha,ja,0.4653061,Magical Girl Ly Science Nanoha,Mahou Shoujo Lyrical Nanoha,魔法 少女 Ｌｙ理科ｌ なのは
Mahou Shoujo Lyrical Nanoha As,en,0.27150863,Mahou Shoujo Lyrical Nanoha As,Mahou Shoujo Lyrical Nanoha As,Mahou Shoujo Lyrical Nanoha As
Mahou Shoujo Lyrical Nanoha StrikerS,en,0.26752263,Mahou Shoujo Lyrical Nanoha StrikerS,Mahou Shoujo Lyrical Nanoha StrikerS,Mahou Shoujo Lyrical Nanoha StrikerS
Mahou Shoujo Lyrical Nanoha ViVid,en,0.31218636,Mahou Shoujo Lyrical Nanoha ViVid,Mahou Shoujo Lyrical Nanoha ViVid,Mahou Shoujo Lyrical Nanoha ViVid
Mahou Shoujo Lyrical Nanoha: The Movie 1st,en,0.5519936,Mahou Shoujo Lyrical Nanoha: The Movie 1st,mahoushoujoririkarunanoha The MOVIE 1st,魔法少女リリカルなのは The MOVIE 1st
Mahou Shoujo Lyrical Nanoha: The Movie 2nd As,en,0.44720685,Mahou Shoujo Lyrical Nanoha: The Movie 2nd As,mahoushoujoririkarunanoha The MOVIE 2nd As,魔法少女リリカルなのは The MOVIE 2nd As
Mahou Shoujo Madoka★Magica,ja,0.87203944,Mahou Shoujo Madoka★Magica,Mahou Shoujo Madoka★Magica,Mahou Shoujo Madoka★Magica
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,ja,1.0,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,ja,0.95284975,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,ja,1.0,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,ja,0.7982799,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin
Mahou Shoujo Madoka★Magica: Concept Movie,en,0.7051609,Mahou Shoujo Madoka★Magica: Concept Movie,mahoushoujomadoka★magika konseputomuubii,魔法少女まどか★マギカ コンセプトムービー
Mahou Shoujo Nante Mou Ii Desukara.,ja,1.0,Magical girls are so good.,Mahou Shoujo Nante Mou Ii Desukara.,魔法 少女 なんて 網 いい ですから。
Mahou Shoujo Pretty Sammy (1996),en,0.6193901,Mahou Shoujo Pretty Sammy (1996),mahoushoujopuriteisamii (1996),魔法少女プリティサミー (1996)
Mahou Shoujo Taisen,ja,0.91144615,magical girl battle,Mahou Shoujo Taisen,魔法 少女 対戦
Mahou Shoujo-tai Arusu,ja,0.9873057,Magical Girl vs. Ars,Mahou Shoujo-tai Arusu,魔法 少女ー対 アルス
Mahou Shoujo? Naria☆Girls,ja,0.87203944,Mahou Shoujo? Naria☆Girls,Mahou Shoujo? Naria☆Girls,Mahou Shoujo? Naria☆Girls
Mahou no Angel Sweet Mint,en,0.46615112,Mahou no Angel Sweet Mint,mahounoenjieru suuiitominto,魔法のエンジェル スウィートミント
Mahou no Idol Pastel Yumi,ilo,0.3304118,Mahou no Idol Pastel Yumi,Mahou no Idol Pastel Yumi,Mahou no Idol Pastel Yumi
Mahou no Mako-chan,ja,0.6933554,magic macaw,Mahou no Mako-chan,魔法 の マコーちゃん
Mahou no Pen,ja,0.45253703,magic pen,Mahou no Pen,魔法 の ペン
Mahou no Princess Minky Momo,en,0.47071534,Mahou no Princess Minky Momo,mahounopurinsesu minkiimomo,魔法のプリンセス ミンキーモモ
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,en,0.39232877,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,mahounopurinsesu minkiimomo vs mahounotenshi kuriimiimami,魔法のプリンセス ミンキーモモ vs 魔法の天使 クリィミーマミ
Mahou no Princess Minky Momo: Yume wo Dakishimete,ja,0.91657156,Magical Princess Minky Momo: Tighten your dreams,Mahou no Princess Minky Momo: Yume wo Dakishimete,まほう の Ｐりんせっｓ みんｋｙ もも： ゆめ を だきしめて
Mahou no Stage Fancy Lala,en,0.43941158,Mahou no Stage Fancy Lala,mahounosuteeji fuanshiirara,魔法のステージ ファンシーララ
Mahou no Star Magical Emi,en,0.609943,Mahou no Star Magical Emi,mahounosutaamajikaruemi,魔法のスターマジカルエミ
Mahou no Tenshi Creamy Mami,ja,0.8742119,Magical Angel C Rare My Mami,Mahou no Tenshi Creamy Mami,魔法 の 天使 Ｃレアｍｙ マミ
Mahou no Yousei Persia,ja,0.4613866,magical request persia,Mahou no Yousei Persia,魔法 の 要請 ペｒシア
Mahoujin Guru Guru,ms,0.55805075,Mahoujin Guru Guru,Mahoujin Guru Guru,Mahoujin Guru Guru
Mahoujin Guru Guru Movie,ja,0.24070185,Mahoujin Guru Guru Movie,Mahoujin Guru Guru Movie,Mahoujin Guru Guru Movie
Mahouka Koukou no Rettousei,el,0.7180534,Mahouka Koukou no Rettousei,Mahouka Koukou no Rettousei,Mahouka Koukou no Rettousei
Mahoutsukai Chappy,ja,0.7075345,Wizard Chappy,Mahoutsukai Chappy,魔法使い チャッｐｙ
Mahoutsukai Haley no Speed Story,en,0.50413424,Mahoutsukai Haley no Speed Story,mahoutsukaiheiriinosupiidosutoorii,魔法使いヘイリーのスピードストーリー
Mahoutsukai Sally,ja,0.9693335,wizard guess,Mahoutsukai Sally,魔法使い 察ｌｙ
Mahoutsukai Sally (Movie),ja,0.77444935,Magician Sensei (Movie),Mahoutsukai Sally (Movie),魔法使い 察ｌｙ （もヴィエ）
Mahoutsukai Sally 2,ja,0.9693335,Wizard guess 2,Mahoutsukai Sally 2,魔法使い 察ｌｙ ２
Mahoutsukai Tai!,ja,0.9491504,Wizard belt!,Mahoutsukai Tai!,魔法使い 帯！
Mahoutsukai ni Taisetsu na Koto,ja,1.0,Important things for wizards,Mahoutsukai ni Taisetsu na Koto,魔法使い に 大切 な 事
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,ja,1.0,Important things for magic users: Summer sky,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,まほうつかい に たいせつ な こと： なつ の そら
Mai Mai Shinko to Sennen no Mahou,ja,1.0,"The magic of new and old and 1,000 yen every American",Mai Mai Shinko to Sennen no Mahou,毎 米 新古 と 千円 の 魔法
Mai Zhu,zh-CN,1.0,Mai Zhu,Mai Zhu,Mai Zhu
Mai-HiME,haw,0.26920086,Mai-HiME,Mai-HiME,Mai-HiME
Mai-Otome,hi,0.315039,Mai-Otome,Mai-Otome,Mai-Otome
Maicching Machiko-sensei,ja,0.945236,Mycching Machiko Sensei,Maicching Machiko-sensei,マイっちんｇ 街こー先生
Maido! Urayasu Tekkin Kazoku,ja,1.0,Maido! urayasu rebar family,Maido! Urayasu Tekkin Kazoku,まいど！ 浦安 鉄筋 家族
Mainichi Kaasan,ja,0.774651,every day mom,Mainichi Kaasan,毎日 母さん
Maison Ikkoku,ja,1.0,Myson Ikkoku,Maison Ikkoku,マイソン 一刻
Maison Ikkoku: Kanketsu-hen,ja,1.0,Maison Ikkoku: Kanketsu Hen,Maison Ikkoku: Kanketsu-hen,まいそん いっこく： かんけつーへん
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,ja,0.897902,Seriously geeky engineering! Ribbon-chan: Fighting magic with English,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,まじ で おたく な えんｇぃｓｈ！ りっぼんーちゃん： えいご で たたかう まほう しょうじょ
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,ja,0.7926819,Seriously geeky engineering! Ribbon-chan: Magical show that fights in English TV,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,まじ で おたく な えんｇぃｓｈ！ りっぼんーちゃん： えいご で たたかう まほう しょうじょ ー てぇ ＴＶ
Majime ni Fumajime Kaiketsu Zorori,ja,1.0,Seriously Unserious Solution Zorori,Majime ni Fumajime Kaiketsu Zorori,真面目 に 不真面目 解決 ゾロリ
Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,ja,1.0,Seriously and seriously: A mystery story,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,まじめ に ふまじめ かいけつ ぞろり： なぞ の おたから だいさくせん
Majimoji Rurumo,ja,0.8832735,Majimoji Rurumo,Majimoji Rurumo,マジ文字 ルルモ
Majin Bone,ja,0.27920926,Majin Bone,Majin Bone,Majin Bone
Majin Tantei Nougami Neuro,ja,0.8536691,Genie detective brainless neuro,Majin Tantei Nougami Neuro,魔神 探偵 脳が未 ネウロ
Majo no Takkyuubin,ja,0.8429172,Kiki's Delivery Service,Majo no Takkyuubin,魔女 の 宅急便
Majokko Megu-chan,ja,1.0,Witch girl Megu-chan,Majokko Megu-chan,魔女っ子 めグーちゃん
Majokko Shimai no Yoyo to Nene,ja,1.0,Witch sisters Yoyo and Nene,Majokko Shimai no Yoyo to Nene,魔女っ子 姉妹 の ヨヨ と ねね
Majokko Tickle,en,0.29809934,Majokko Tickle,Majokko Tickle,Majokko Tickle
Major Movie: Yuujou no Winning Shot,en,0.8705647,Major Movie: Yuujou no Winning Shot,omonaeiga(isamijounouiningushotto),主な映画『勇情のウイニングショット』
Major S1,en,0.9765941,Major S1,mejaaS1,メジャーS1
Major S2,en,0.9444902,Major S2,mejaaS2,メジャーS2
Major S3,ar,0.7447445,Major S3,Major S3,Major S3
Major S4,en,0.7794949,Major S4,mejaaS4,メジャーS4
Major S5,en,1.0,Major S5,mejaaS5,メジャーS5
Major S6,en,1.0,Major S6,mejaaS6,メジャーS6
Majutsushi Orphen,ja,0.74682796,Magician orp edition,Majutsushi Orphen,魔術師 おｒｐ編
Majutsushi Orphen: Revenge,ja,0.3971459,Majutsushi Orp: Renge,Majutsushi Orphen: Revenge,まじゅつし おｒｐへん： れゔぇんげ
Majuu Sensen: The Apocalypse,en,0.26949772,Majuu Sensen: The Apocalypse,Majuu Sensen: The Apocalypse,Majuu Sensen: The Apocalypse
Makai Ouji: Devils and Realist,en,0.37843308,Makai Ouji: Devils and Realist,makaiouji Devils and Realist,魔界王子 Devils and Realist
Makai Senki Disgaea,el,0.23384751,Makai Senki Disgaea,Makai Senki Disgaea,Makai Senki Disgaea
Maken Liner 0011 Henshin Seyo!,ja,0.8436681,Magic Sword Iner 0011 Reply!,Maken Liner 0011 Henshin Seyo!,魔剣 ぃねｒ ００１１ 返信 せよ！
Makiba no Shoujo Katri,ja,1.0,Farm Girl Katori,Makiba no Shoujo Katri,牧場 の 少女 化ｔ里
Maku,fi,0.39534885,Maku,Maku,Maku
Makura no Danshi,ja,0.6983299,pillow boy,Makura no Danshi,枕 の 男子
Makyou Densetsu Acrobunch,ja,0.92688084,Demon world legend ac russian ch,Makyou Densetsu Acrobunch,魔境 伝説 あｃ露文ｃｈ
Malay Oki Kaisen,hi,0.522232,Malay Oki Kaisen,Malay Oki Kaisen,Malay Oki Kaisen
Mama wa Poyopoyo Saurus ga Osuki,ja,0.9872377,Mama Wa Poyopoyo Saul s is my favorite,Mama wa Poyopoyo Saurus ga Osuki,まま 和 ポヨポヨ サウルｓ が お好き
Mama wa Shougaku 4 Nensei,ja,1.0,Mama Kazu 4th grade elementary school,Mama wa Shougaku 4 Nensei,まま 和 小学 ４ 年生
Mamoru-kun ni Megami no Shukufuku wo!,ja,1.0,Goddess' blessing to Mamoru-kun!,Mamoru-kun ni Megami no Shukufuku wo!,守るーくん に 女神 の 祝福 を！
Mamotte Shugogetten!,ja,0.9097064,"Protect me, Shugogetten!",Mamotte Shugogetten!,守って 守護月天！
Mamotte! Lollipop,en,0.42597544,Mamotte! Lollipop,mamotte!roripoppu,まもって！ロリポップ
Manga,en,0.8899329,Manga,manga,マンガ
Manga Aesop Monogatari (TV),en,0.2115011,Manga Aesop Monogatari (TV),Manga Aesop Monogatari (TV),Manga Aesop Monogatari (TV)
Manga Doushite Monogatari,ja,0.9678355,manga why story,Manga Doushite Monogatari,漫画 どうして 物語
Manga Hajimete Monogatari,ja,0.88846886,manga first story,Manga Hajimete Monogatari,漫画 初めて 物語
Manga Hajimete Omoshiro Juku,ja,1.0,Manga first time funny cram school,Manga Hajimete Omoshiro Juku,漫画 初めて 面白 塾
Manga Ijin Monogatari,ja,0.9242033,manga great story,Manga Ijin Monogatari,漫画 偉人 物語
Manga Mitokoumon,mg,0.78092325,Manga Mitokoumon,Manga Mitokoumon,Manga Mitokoumon
Manga Naruhodo Monogatari,ja,0.9575348,Manga I see story,Manga Naruhodo Monogatari,漫画 なるほど 物語
Manga Nihonshi,ja,0.93236834,Manga in this magazine,Manga Nihonshi,漫画 に本誌
Manga Nippon Mukashibanashi,ja,0.9857986,manga japan folk tales,Manga Nippon Mukashibanashi,漫画 日本 昔話
Manga Nippon Mukashibanashi (1976),ja,0.9857986,Manga Japanese Folktales (1976),Manga Nippon Mukashibanashi (1976),漫画 日本 昔話 （１９７６）
Manga Nippon Mukashibanashi (Movie),ja,0.9839452,Manga Japanese Folktales (Movie),Manga Nippon Mukashibanashi (Movie),漫画 日本 昔話 （もヴィエ）
Manga Sarutobi Sasuke,ja,1.0,manga sarutobi sasuke,Manga Sarutobi Sasuke,漫画 猿飛 サスケ
Manga Sekai Mukashibanashi,ja,0.9858742,Manga World Folktales,Manga Sekai Mukashibanashi,漫画 世界 昔話
Mangchi,zh-CN,0.395485,Mangchi,Mangchi,Mangchi
Mangirl!,en,0.26348215,Mangirl!,Mangirl!,Mangirl!
Manie-Manie: Meikyuu Monogatari,ja,0.8265618,Manie Manie: Meikyuu Story,Manie-Manie: Meikyuu Monogatari,まにえーまにえ： めいきゅう ものがたり
Manyuu Hikenchou,ny,0.43321517,Manyuu Hikenchou,Manyuu Hikenchou,Manyuu Hikenchou
Maou Dante,el,0.3335686,Maou Dante,Maou Dante,Maou Dante
Maoyuu Maou Yuusha,ja,0.31947398,Maoyuu Maou Yuusha,Maoyuu Maou Yuusha,Maoyuu Maou Yuusha
Maple Town Monogatari,en,0.91153336,Maple Town Monogatari,meipurutaunmonogatari,メイプルタウン物語
MapleStory,vi,0.6162791,MapleStory,MapleStory,MapleStory
Marco: Haha wo Tazunete Sanzenri,ja,0.71000826,"Mako: Haha, I asked him about it.",Marco: Haha wo Tazunete Sanzenri,まｒこ： はは を たずねて さんぜんり
Mardock Scramble: The First Compression,en,1.0,Mardock Scramble: The First Compression,marudoukku・sukuranburu The First Compression,マルドゥック・スクランブル The First Compression
Mardock Scramble: The Second Combustion,en,1.0,Mardock Scramble: The Second Combustion,marudoukku・sukuranburu daininenshou,マルドゥック・スクランブル 第二燃焼
Mardock Scramble: The Third Exhaust,en,1.0,Mardock Scramble: The Third Exhaust,marudoukku・sukuranburu daisannohaikidan,マルドゥック・スクランブル 第三の排気団
Marginal Prince: Gekkeiju no Ouji-tachi,ja,0.9684394,Marginal P Rinse: Gekkeiju's Old Men,Marginal Prince: Gekkeiju no Ouji-tachi,まｒぎなｌ Ｐりんせ： げっけいじゅ の おうじーたち
Mari Iyagi,id,0.57603455,Mari Iyagi,Mari Iyagi,Mari Iyagi
Maria-sama ga Miteru,ja,0.9893039,Maria is watching,Maria-sama ga Miteru,マリアー様 が 見てる
Maria-sama ga Miteru 4th,ja,0.82595885,Maria is watching 4th,Maria-sama ga Miteru 4th,マリアー様 が 見てる ４ｔｈ
Maria-sama ga Miteru: Haru,ja,0.9890135,Maria is watching: Haru,Maria-sama ga Miteru: Haru,まりあーさま が みてる： はる
Maria†Holic,es,0.61188,Maria†Holic,Maria†Holic,Maria†Holic
Maria†Holic Alive,en,0.5947299,Maria†Holic Alive,maria†horikkuaraibu,まりあ†ほりっくアライブ
Marie and Gali,en,0.45572636,Marie and Gali,mariitogari,マリーとガリ
Marie and Gali ver. 2.0,en,0.44029698,Marie and Gali ver. 2.0,mariitogariver. 2.0,マリーとガリver. 2.0
Marmalade Boy,en,0.7116619,Marmalade Boy,mamareedobooi,ママレードボーイ
Marmalade Boy Movie,en,0.93977153,Marmalade Boy Movie,mamareedobooinoeiga,ママレードボーイの映画
Maroko,id,0.21960784,Maroko,Maroko,Maroko
Marvel Disk Wars: The Avengers,en,1.0,Marvel Disk Wars: The Avengers,maaberu・disuku・uoozu:abenjaazu,マーベル・ディスク・ウォーズ：アベンジャーズ
Mashin Eiyuuden Wataru,ja,1.0,Machine Eiyuden Crossing,Mashin Eiyuuden Wataru,マシン 英雄伝 渡る
Mashin Eiyuuden Wataru 2,ja,1.0,Machine Hero Legend Crossing 2,Mashin Eiyuuden Wataru 2,マシン 英雄伝 渡る ２
Masou Kishin Cybuster,sq,0.3718631,Masou Kishin Cybuster,Masou Kishin Cybuster,Masou Kishin Cybuster
Mass Effect: Paragon Lost,en,0.9776826,Mass Effect: Paragon Lost,masu efekuto: paragon rosuto,マス エフェクト: パラゴン ロスト
Massugu ni Ikou.,ja,1.0,Let's go straight.,Massugu ni Ikou.,まっすぐ に 行こう。
Massugu ni Ikou. 2nd Season,bm,0.2946326,Massugu ni Ikou. 2nd Season,Massugu ni Ikou. 2nd Season,Massugu ni Ikou. 2nd Season
