name,english,japanese,kanji
Little Witch Academia,Little Witch Academia,ritoruuitchiakademia,リトルウィッチアカデミア
Little Witch Academia: Mahoujikake no Parade,Little Witch Academia: The Enchanted Parade,ritoruuitchiakademia mahoushikakenopareedo,リトルウィッチアカデミア 魔法仕掛けのパレード
Live On Cardliver Kakeru,Live On Cardliver Kakeru,raibuon CARDLIVER shou,ライブオン CARDLIVER 翔
Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,Lodoss-tou Senki: Eiyuu Kishi Den,ロードス島戦記　英雄騎士伝
Log Horizon,Log Horizon,rogu・horaizun,ログ・ホライズン
Log Horizon 2nd Season,Log Horizon 2,rogu・horaizun dai2shiriizu,ログ・ホライズン 第2シリーズ
Lost Universe,Lost Universe,rosuto・yunibaasu,ロスト・ユニバース
Lost Utopia,Lost Utopia,Lost Utopia,Lost Utopia
Loups=Garous,Loups=Garous,ruu=garuu kihisubekiookami,ルー=ガルー 忌避すべき狼
Love Get Chu,Love Get Chu,rabugetsuCHU ~mirakuruseiyuuhakusho~,ラブゲッCHU ～ミラクル声優白書～
Love Lab,Love Lab,ren'airabo,恋愛ラボ
Love Live! School Idol Project,Love Live! School Idol Project,raburaibu! School idol project,ラブライブ! School idol project
Love Live! School Idol Project 2nd Season,Love Live! School Idol Project 2,raburaibu! School idol project 2ki,ラブライブ! School idol project 2期
Love Live! Sunshine!!,Love Live! Sunshine!!,raburaibu!sanshain!!,ラブライブ！サンシャイン!!
Love Live! The School Idol Movie,Love Live! The School Idol Movie,raburaibu!The School Idol Movie,ラブライブ！The School Idol Movie
Love Stage!!,Love Stage!!,rabusuteeji!!,ラブステージ!!
Loveless,Loveless,raburesu,ラブレス
Lovely Movie: Itoshi no Muco,Lovely Movie: Lovely Muuuuuuuco!,Lovely Movie: Itoshi no Muco,ラブリームービー いとしのムーコ
Lovely Movie: Itoshi no Muco Season 2,Lovely Movie: Lovely Muuuuuuuco! Season 2,raburiimuubii itoshinomuuko shiizun2,ラブリームービー いとしのムーコ シーズン２
Lovely★Complex,Lovely Complex,rabu★kon,ラブ★コン
Lucky☆Star,Lucky☆Star,raki☆suta,らき☆すた
Lupin III,Lupin III,rupansansei,ルパン三世
Lupin III (2015),Lupin the Third Part 4,rupansansei,ルパン三世
Lupin III vs. Detective Conan: The Movie,Lupin III vs. Detective Conan: The Movie,rupansanseivs.meitanteikonan THE MOVIE,ルパン三世vs.名探偵コナン THE MOVIE
Lupin III: Babylon no Ougon Densetsu,It's good: Babyon no Ogon Densetsu,Lupin III: Babylon no Ougon Densetsu,ルパン三世　バビロンの黄金伝説
Lupin III: Cagliostro no Shiro,Lupin III: The Castle of Cagliostro,rupansansei kariosutoronoshiro,ルパン三世 カリオストロの城
Lupin III: Dead or Alive,Lupin III: Dead or Alive,rupansansei DEAD OR ALIVE,ルパン三世 DEAD OR ALIVE
Lupin III: Fuuma Ichizoku no Inbou,Lupin III: The Fuma Conspiracy,Lupin III: Fuuma Ichizoku no Inbou,ルパン三世　風魔一族の陰謀
Lupin III: Kutabare! Nostradamus,Lupin III: Farewell to Nostradamus,"rupansansei(kutabare!nosutoradamusu,)","ルパン三世『くたばれ!ノストラダムス,』"
Lupin III: Lupin vs. Fukusei-ningen,Lupin III: The Secret of Mamo,rupanvsfukuseiningen,ルパンvs複製人間
Lupin III: Part II,Lupin III: Part II,shin・rupansansei,新・ルパン三世
Lupin III: Part III,Lupin III: Part III,rupansansei - Part III,ルパン三世 - Part III
Lupin III: Pilot Film,Lupin III: Pilot Film,rupansansei Pilot Film,ルパン三世 Pilot Film
Lupin the IIIrd: Jigen Daisuke no Bohyou,Lupin the Third: Jigen's Gravestone,Lupin the IIIrd: Jigen Daisuke no Bohyou,LUPIN THE IIIRD 次元大介の墓標
Lupin the Third: Mine Fujiko to Iu Onna,Lupin the Third: The Woman Called Fujiko Mine,LUPIN the Third ~minefujikotoiuonna~,LUPIN the Third ～峰不二子という女～
M3: Sono Kuroki Hagane,M3: That black steel,M3: Sono Kuroki Hagane,M3～ソノ黒キ鋼～
Maabou no Daikyousou,Mabo's Big Race,Maabou no Daikyousou,マー坊の大競争
Maabou no Kinoshita Toukichirou,Mabo as Tokichiro Kinoshita,Maabou no Kinoshita Toukichirou,マー坊の木下藤吉郎
Mac the Movie,Mac the Movie,makkumakkuzamakkuzamuubii,マック･ザ･ムービー
Macademi Wasshoi!,Magician's Academy,Macademi Wasshoi!,まかでみWAっしょい！
Mach Girl,Mach Girl,mahhagaaru,マッハガール
Mach GoGoGo,Speed Racer,mahhaGoGoGo,マッハＧｏＧｏＧｏ
Mach GoGoGo (1997),Speed Racer X,mahhaGoGoGo,マッハGoGoGo
Machine Hayabusa,Matinee Hayabusa,Machine Hayabusa,マシンハヤブサ
Machine Robo: Butchigiri Battle Hackers,Machine Robo: Butchigiri Battle Hackers,mashinrobo butchigiribatoruhakkaazu,マシンロボ ぶっちぎりバトルハッカーズ
Machine Robo: Revenge of Chronos,Machine Robo: Revenge of Chronos,mashinrobo kuronosunogyakushuu,マシンロボ クロノスの逆襲
Machine-Doll wa Kizutsukanai,Unbreakable Machine-Doll,Machine-Doll wa Kizutsukanai,機巧少女〈マシンドール〉は傷つかない
Macross,Macross,choujikuuyousaimakurosu,超時空要塞マクロス
Macross 7,Macross 7,makurosu7,マクロス７
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,Macross 7: The Galaxy is Calling Me,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,劇場版 マクロス７　銀河がオレを呼んでいる！
Macross F,Macross Frontier,makurosuF(furonteia),マクロスF（フロンティア）
Macross F Movie 1: Itsuwari no Utahime,Macross Frontier: The False Songstress,Macross F Movie 1: Itsuwari no Utahime,劇場版 マクロスＦ 虚空歌姫 ～イツワリノウタヒメ～
Macross F Movie 2: Sayonara no Tsubasa,Macross Frontier: The Wings of Farewell,Macross F Movie 2: Sayonara no Tsubasa,劇場版 マクロスＦ 恋離飛翼 ～サヨナラノツバサ～
Macross FB7: Ore no Uta wo Kike!,Macros FB7: Listen to my song!,Macross FB7: Ore no Uta wo Kike!,マクロスFB7 銀河流魂 オレノウタヲキケ!
Macross Plus Movie Edition,Macross Plus Movie Edition,makurosupurasu MOVIE EDITION,マクロスプラス　ＭＯＶＩＥ　ＥＤＩＴＩＯＮ
Macross Δ,Macross Delta,makurosuDelta(deruta),マクロスΔ（デルタ）
Macross: Do You Remember Love?,Macross: Do You Remember Love?,choujikuuyousaimakurosu -ai・oboeteimasuka-,超時空要塞マクロス -愛・おぼえていますか-
Madang-Eul Naon Amtalg,Madang-Eul Naon Amtalg,Madang-Eul Naon Amtalg,Madang-Eul Naon Amtalg
Madlax,Madlax,madorakkusu,マドラックス
Mado,Mado,mado,窓
Madou King Granzort,Mado King Granzort,madououguranzooto,魔動王グランゾート
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,Maete Rinck's Aoi Tori: Tyltyl Mytyl's Adventure,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,メーテルリングの青い鳥 チルチルミチルの冒険旅行
Mafukiden: Pandarian,Pandalian,mamamekidenpandarian,魔豆奇伝パンダリアン
Magi: Sinbad no Bouken (TV),Magi: Adventure of Sinbad,Magi: Sinbad no Bouken (TV),マギ シンドバッドの冒険
Magi: The Kingdom of Magic,Magi: The Kingdom of Magic,magi The kingdom of magic,マギ The kingdom of magic
Magi: The Labyrinth of Magic,Magi: The Labyrinth of Magic,magi The labyrinth of magic,マギ The labyrinth of magic
Magic Kaito 1412,Magic Kaito 1412,majikkukaito1412,まじっく快斗1412
Magic Knight Rayearth,Magic Knight Rayearth,mahoukishi(majikkunaito)reiaasu,魔法騎士（マジックナイト）レイアース
Magic Knight Rayearth II,Magic Knight Rayearth II,mahoukishi(majikkunaito)reiaasu II,魔法騎士（マジックナイト）レイアース II
Magic Tree House,Magic Tree House,majikku・tsuriihausu,マジック・ツリーハウス
Magical Canan,Magical Kanan,majikarukanan,まじかるカナン
Magical Hat,Magical Hat,majikaruhatto,まじかるハット
Magical Nyan Nyan Taruto,Magical Meow Meow Taruto,mahoushoujoneko[majikaru nyan nyan]taruto,魔法少女猫[まじかる にゃん にゃん]たると
Magical★Taruruuto-kun,Magical★Taruruuto-kun,majikaru☆taruruutokun,まじかる☆タルるートくん
Magnerobo Ga-Keen,Magnerobo Ga-Keen,magunerobo・ga・kiin,マグネロボ・ガ・キーン
Mahoraba: Heartful days,Mahoraba: Heartful days,mahoraba ~Heartful days~,まほらば ~Heartful days~
Mahoromatic 2,Mahoromatic 2,mahoromateikku2,まほろまてぃっく2
Mahoromatic: Automatic Maiden,Mahoromatic: Automatic Maiden,mahoromateikku,まほろまてぃっく
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,Magic school una r! The secret of the blue flow,Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,魔法学園ルナ!　青い竜の秘密
Mahou Sensei Negima! Anime Final,Magic teacher Negima! anime final,Mahou Sensei Negima! Anime Final,魔法 先生 ねぎま！ アニメ フィナｌ
Mahou Senshi Louie,Rune Soldier,mahousensamurairiui,魔法戦士リウイ
Mahou Sensou,Magical Warfare,mahousensou,魔法戦争
Mahou Shoujo Lalabel,Mahou Shoujo Lalabel,mahoushoujoraraberu,魔法少女ララベル
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,Magical Shojo Aabel: The sea calls summer rest,Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,魔法少女ララベル 海が呼ぶ夏休み
Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,Mahou Shoujo Lyrical Nanoha,魔法少女リリカルなのは
Mahou Shoujo Lyrical Nanoha StrikerS,Magical Girl Lyrical Nanoha StrikerS,mahoushoujoririkarunanohaStrikerS,魔法少女リリカルなのはStrikerS
Mahou Shoujo Lyrical Nanoha ViVid,Mahou Shoujo Lyrical Nanoha ViVid,mahoushoujoririkarunanohaViVid,魔法少女リリカルなのはViVid
Mahou Shoujo Lyrical Nanoha: The Movie 1st,Magical Girl Lyrical Nanoha: The Movie 1st,mahoushoujoririkarunanoha The MOVIE 1st,魔法少女リリカルなのは The MOVIE 1st
Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,Mahou Shoujo Madoka★Magica,魔法少女まどか★マギカ
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Puella Magi Madoka Magica the Movie Part 1: Beginnings,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,劇場版 魔法少女まどか☆マギカ 始まりの物語
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Puella Magi Madoka Magica the Movie Part 2: Eternal,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,劇場版 魔法少女まどか☆マギカ 永遠の物語
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Puella Magi Madoka Magica the Movie: Rebellion,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,劇場版 魔法少女まどか☆マギカ 叛逆の物語
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin
Mahou Shoujo Madoka★Magica: Concept Movie,Puella Magi Madoka Magica Concept Movie,mahoushoujomadoka★magika konseputomuubii,魔法少女まどか★マギカ コンセプトムービー
Mahou Shoujo Nante Mou Ii Desukara.,Magical girls are so good.,Mahou Shoujo Nante Mou Ii Desukara.,魔法 少女 なんて 網 いい ですから。
Mahou Shoujo Pretty Sammy (1996),Magical Project S,mahoushoujopuriteisamii(1996),魔法少女プリティサミー(1996)
Mahou Shoujo Taisen,Magica Wars,Mahou Shoujo Taisen,魔法少女大戦
Mahou Shoujo-tai Arusu,Tweeny Witches,Mahou Shoujo-tai Arusu,魔法少女隊アルス
Mahou Shoujo? Naria☆Girls,Mahou Shoujo? Naria Girls,Mahou Shoujo? Naria☆Girls,魔法少女? なりあ☆がーるず
Mahou no Angel Sweet Mint,Mahou no Angel Sweet Mint,mahounoenjieru suiitominto,魔法のエンジェル スイートミント
Mahou no Idol Pastel Yumi,Magical Idol Pastel Yumi,mahounoaidoru pasuteruyuumi,魔法のアイドル パステルユーミ
Mahou no Mako-chan,magic macaw,Mahou no Mako-chan,魔法のマコちゃん
Mahou no Pen,magic pen,Mahou no Pen,魔法のペン
Mahou no Princess Minky Momo,Magical Princess Minky Momo,mahounopurinsesu minkiimomo,魔法のプリンセス　ミンキーモモ
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,mahounopurinsesuminkiimomovsmahounotenshikuriiimiimami,魔法のプリンセスミンキーモモvs魔法の天使クリィーミーマミ
Mahou no Princess Minky Momo: Yume wo Dakishimete,Magical Princess Minky Momo: Hold on to Your Dreams,Mahou no Princess Minky Momo: Yume wo Dakishimete,魔法のプリンセス　ミンキーモモ（夢を抱きしめて）
Mahou no Stage Fancy Lala,Magical Stage Fancy Lala,mahounosuteeji・fuanshiirara,魔法のステージ・ファンシーララ
Mahou no Star Magical Emi,Mahou no Star Magical Emi,mahounosutaa majikaruemi,魔法のスター マジカルエミ
Mahou no Tenshi Creamy Mami,Magical Angel Creamy Mami,Mahou no Tenshi Creamy Mami,魔法の天使 クリィミーマミ
Mahou no Yousei Persia,Persia the Magic Fairy,Mahou no Yousei Persia,魔法の妖精 ペルシャ
Mahoujin Guru Guru,Mahoujin Guru Guru,Mahoujin Guru Guru,Mahoujin Guru Guru
Mahoujin Guru Guru Movie,Magical Circle Guru Guru Movie,gekijouban mahoujinguruguru,劇場版 魔法陣グルグル
Mahouka Koukou no Rettousei,The Irregular at Magic High School,mahoukakoukounorettousei,魔法科高校の劣等生
Mahoutsukai Chappy,Wizard Chappy,Mahoutsukai Chappy,魔法使いチャッピー
Mahoutsukai Haley no Speed Story,Mahoutsukai Haley no Speed Story,mahoutsukaihaareinosupiidosutoorii,魔法使いハーレイのスピードストーリー
Mahoutsukai Sally,Sally the Witch,Mahoutsukai Sally,魔法使いサリー
Mahoutsukai Sally (Movie),Magician Sensei (Movie),Mahoutsukai Sally (Movie),魔法使いサリー
Mahoutsukai Sally 2,Wizard guess 2,Mahoutsukai Sally 2,魔法使いサリー２
Mahoutsukai Tai!,Magic User's Club OVA,Mahoutsukai Tai!,魔法使いTai!
Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers,Mahoutsukai ni Taisetsu na Koto,魔法遣いに大切なこと
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Someday's Dreamers II: Sora,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,魔法遣いに大切なこと ～夏のソラ～
Mai Mai Shinko to Sennen no Mahou,Mai-Mai Miracle,Mai Mai Shinko to Sennen no Mahou,マイマイ新子と千年の魔法
Mai Zhu,Pig Sale,Mai Zhu,Mai Zhu
Mai-HiME,My-Hime,Mai-HiME,Mai-HiME
Mai-Otome,My-Otome,Mai-Otome,Mai-Otome
Maicching Machiko-sensei,Miss Machiko,Maicching Machiko-sensei,まいっちんぐマチコ先生
Maido! Urayasu Tekkin Kazoku,Maido! urayasu rebar family,Maido! Urayasu Tekkin Kazoku,毎度！浦安鉄筋家族
Mainichi Kaasan,Kaasan: Mom's Life,Mainichi Kaasan,毎日かあさん
Maison Ikkoku,Maison Ikkoku,Maison Ikkoku,めぞん一刻
Maison Ikkoku: Kanketsu-hen,Maison Ikkoku: Kanketsu Hen,Maison Ikkoku: Kanketsu-hen,めぞん一刻 完結篇
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,Seriously geeky engineering! Ribbon-chan: Fighting magic with English,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,マジでオタクなイングリッシュ! りぼんちゃん ~英語で戦う魔法少女~
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,Seriously geeky engineering! Ribbon-chan: Magical show that fights in English TV,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,マジでオタクなイングリッシュ! りぼんちゃん ~英語で戦う魔法少女~ the TV
Majime ni Fumajime Kaiketsu Zorori,Seriously Unserious Solution Zorori,Majime ni Fumajime Kaiketsu Zorori,まじめにふまじめ　かいけつゾロリ
Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,Seriously and seriously: A mystery story,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん
Majimoji Rurumo,Magimoji Rurumo,Majimoji Rurumo,まじもじるるも
Majin Bone,Majin Bone,majinboon,マジンボーン
Majin Tantei Nougami Neuro,Neuro: Supernatural Detective,Majin Tantei Nougami Neuro,魔人探偵 脳噛ネウロ
Majo no Takkyuubin,Kiki's Delivery Service,Majo no Takkyuubin,魔女の宅急便
Majokko Megu-chan,Witch girl Megu-chan,Majokko Megu-chan,魔女っ子メグちゃん
Majokko Shimai no Yoyo to Nene,Magical Sisters Yoyo & Nene,Majokko Shimai no Yoyo to Nene,魔女っこ姉妹のヨヨとネネ
Majokko Tickle,Majokko Tickle,majotsukochikkuru,魔女っ子チックル
Major Movie: Yuujou no Winning Shot,Major Movie: Yuujou no Winning Shot,gekijoubanMAJOR yuujounoikkyuu(uiningushotto),劇場版MAJOR 友情の一球（ウイニングショット）
Major S1,Major S1,mejaa (dai1shiriizu),メジャー （第1シリーズ）
Major S2,Major S2,mejaa (dai2shiriizu),メジャー (第2シリーズ)
Major S3,Major S3,mejaa (dai3shiriizu),メジャー (第3シリーズ)
Major S4,Major S4,mejaa (dai4shiriizu),メジャー　（第4シリーズ)
Major S5,Major S5,mejaa,メジャー
Major S6,Major S6,mejaa dai6shiriizu,メジャー 第6シリーズ
Majutsushi Orphen,Orphen,Majutsushi Orphen,魔術士オーフェン
Majutsushi Orphen: Revenge,Orphen 2: Revenge,Majutsushi Orphen: Revenge,魔術士オーフェンRevenge
Majuu Sensen: The Apocalypse,Beast Fighter: The Apocalypse,majuusensen THE APOCALYPSE,魔獣戦線 THE APOCALYPSE
Makai Ouji: Devils and Realist,Devils and Realist,makaiouji Devils and Realist,魔界王子 Devils and Realist
Makai Senki Disgaea,Disgaea,makaisenkidisugaia,魔界戦記ディスガイア
Maken Liner 0011 Henshin Seyo!,Magic Sword Iner 0011 Reply!,Maken Liner 0011 Henshin Seyo!,魔犬ライナー００１１変身せよ
Makiba no Shoujo Katri,"Katri, Girl of the Meadows",Makiba no Shoujo Katri,牧場の少女カトリ
Maku,Maku,Maku,Maku
Makura no Danshi,makuranodanshi,Makura no Danshi,枕男子（まくらのだんし）
Makyou Densetsu Acrobunch,Demon world legend ac russian ch,Makyou Densetsu Acrobunch,魔境伝説アクロバンチ
Malay Oki Kaisen,The Battle of the Malay Sea,mareeokikaisen,マレー沖海戦
Mama wa Poyopoyo Saurus ga Osuki,Mama Loves the Poyopoyo-Saurus,Mama wa Poyopoyo Saurus ga Osuki,ママはぽよぽよザウルスがお好き
Mama wa Shougaku 4 Nensei,Mama is Just a Fourth Grade Pupil,Mama wa Shougaku 4 Nensei,ママは小学４年生
Mamoru-kun ni Megami no Shukufuku wo!,Venus to Mamoru!,Mamoru-kun ni Megami no Shukufuku wo!,護くんに女神の祝福を！
Mamotte Shugogetten!,"Protect Me, Heavenly Moon Guardian!",Mamotte Shugogetten!,まもって守護月天！
Mamotte! Lollipop,Save Me! Lollipop,mamotte!roripoppu,まもって！ロリポップ
Manga,Manga,manga,漫画
Manga Aesop Monogatari (TV),Manga Aesop Monogatari (TV),mangaisoppumonogatari,まんがイソップ物語
Manga Doushite Monogatari,manga why story,Manga Doushite Monogatari,まんがどうして物語
Manga Hajimete Monogatari,manga first story,Manga Hajimete Monogatari,まんがはじめて物語
Manga Hajimete Omoshiro Juku,Manga first time funny cram school,Manga Hajimete Omoshiro Juku,まんがはじめて面白塾
Manga Ijin Monogatari,manga great story,Manga Ijin Monogatari,まんが偉人物語
Manga Mitokoumon,Manga Mitokoumon,mangamitokoumon,まんが水戸黄門
Manga Naruhodo Monogatari,Manga I see story,Manga Naruhodo Monogatari,まんがなるほど物語
Manga Nihonshi,Manga in this magazine,Manga Nihonshi,まんが日本史
Manga Nippon Mukashibanashi,manga japan folk tales,Manga Nippon Mukashibanashi,まんが日本昔ばなし
Manga Nippon Mukashibanashi (1976),Manga Japanese Folktales (1976),Manga Nippon Mukashibanashi (1976),まんが日本昔ばなし（第2期）
Manga Nippon Mukashibanashi (Movie),Manga Japanese Folktales (Movie),Manga Nippon Mukashibanashi (Movie),まんが日本昔ばなし
Manga Sarutobi Sasuke,Ninja the Wonder Boy,Manga Sarutobi Sasuke,まんが猿飛佐助
Manga Sekai Mukashibanashi,Manga Fairy Tales of the World,Manga Sekai Mukashibanashi,まんが世界昔ばなし
Mangchi,Hammerboy,Mangchi,Mangchi
Mangirl!,Mangirl!,mangaaru!,まんがーる!
Manie-Manie: Meikyuu Monogatari,Neo Tokyo,Manie-Manie: Meikyuu Monogatari,Manie-Manie 迷宮物語
Manyuu Hikenchou,Magic Breast Secret Sword Scroll,Manyuu Hikenchou,Manyuu Hikenchou
Maou Dante,Demon Lord Dante,maoudante,魔王ダンテ
Maoyuu Maou Yuusha,Maoyu ~ Archenemy & Hero,maoyuumaouyuusha,まおゆう魔王勇者
Maple Town Monogatari,Maple Town,meipurutaunmonogatari,メイプルタウン物語
MapleStory,MapleStory,meipurusutoorii,メイプルストーリー
Marco: Haha wo Tazunete Sanzenri,"Mako: Haha, I asked him about it.",Marco: Haha wo Tazunete Sanzenri,Marco: 母をたずねて三千里
Mardock Scramble: The First Compression,Mardock Scramble: The First Compression,marudoukku・sukuranburu asshuku,マルドゥック・スクランブル 圧縮
Mardock Scramble: The Second Combustion,Mardock Scramble: The Second Combustion,marudoukku・sukuranburu nenshou,マルドゥック・スクランブル 燃焼
Mardock Scramble: The Third Exhaust,Mardock Scramble: The Third Exhaust,marudoukku・sukuranburu dai3bu haiki,マルドゥック・スクランブル 第3部 排気
Marginal Prince: Gekkeiju no Ouji-tachi,Marginal P Rinse: Gekkeiju's Old Men,Marginal Prince: Gekkeiju no Ouji-tachi,マージナルプリンス -月桂樹の王子達-
Mari Iyagi,Mari Iyagi,Mari Iyagi,Mari Iyagi
Maria-sama ga Miteru,Maria Watches Over Us,Maria-sama ga Miteru,マリア様がみてる
Maria-sama ga Miteru 4th,Maria Watches Over Us Season 4,Maria-sama ga Miteru 4th,マリア様がみてる〜４th〜
Maria-sama ga Miteru: Haru,Maria Watches Over Us: Printemps,Maria-sama ga Miteru: Haru,マリア様がみてる～春～
Maria†Holic,Maria†Holic,maria†horikku,まりあ†ほりっく
Maria†Holic Alive,Maria†Holic Alive,maria†horikku araibu,まりあ†ほりっく あらいぶ
Marmalade Boy,Marmalade Boy,mamareedo・booi,ママレード・ボーイ
Marmalade Boy Movie,Marmalade Boy Movie,mamareedo・booi (1995),ママレード・ボーイ (1995)
Maroko,Maroko,Maroko,Maroko
Marvel Disk Wars: The Avengers,Marvel Disk Wars: The Avengers,disuku・uoozu:abenjaazu,ディスク・ウォーズ：アベンジャーズ
Mashin Eiyuuden Wataru,Machine Eiyuden Crossing,Mashin Eiyuuden Wataru,魔神英雄伝ワタル
Mashin Eiyuuden Wataru 2,Spirit Hero Wataru 2,Mashin Eiyuuden Wataru 2,魔神英雄伝ワタル2
Masou Kishin Cybuster,Cybuster,masoukikamisaibasutaa,魔装機神サイバスター
Mass Effect: Paragon Lost,Mass Effect: Paragon Lost,masuefekuto~ushinawaretaparagon,マスエフェクト～失われたパラゴン
Massugu ni Ikou.,Let's go straight.,Massugu ni Ikou.,まっすぐにいこう。
Massugu ni Ikou. 2nd Season,Massugu ni Ikou. 2nd Season,massuguniikou.dai2ki,まっすぐにいこう。第2期
Master Keaton,Master Keaton,masutaakiiton,マスターキートン
Master Mosquiton 99,Master Mosquiton 99,masutaamosukiiton99,マスターモスキートン99
Master of Epic: The Animation Age,Master of Epic: The Animation Age,masutaa obu epikku The Animation Age,マスター オブ エピック The Animation Age
Masuda Kousuke Gekijou Gag Manga Biyori,Kosuke Masuda Theater Gag Manga Weather,Masuda Kousuke Gekijou Gag Manga Biyori,増田こうすけ劇場 ギャグマンガ日和
Masuda Kousuke Gekijou Gag Manga Biyori +,Masuda Kosuke Gekijo Gag Manga Biyori ＋,Masuda Kousuke Gekijou Gag Manga Biyori +,増田こうすけ劇場 ギャグマンガ日和+
Masuda Kousuke Gekijou Gag Manga Biyori 2,Kosuke Masuda theater ga g manga day 2,Masuda Kousuke Gekijou Gag Manga Biyori 2,増田こうすけ劇場 ギャグマンガ日和2
Masuda Kousuke Gekijou Gag Manga Biyori 3,Kosuke Masuda theater ga g manga day 3,Masuda Kousuke Gekijou Gag Manga Biyori 3,増田こうすけ劇場 ギャグマンガ日和3
Matantei Loki Ragnarok,Mythical Detective Loki Ragnarok,matanteiroki RAGNAROK,魔探偵ロキ RAGNAROK
Match Uri no Shoujo,The Little Match Girl,Match Uri no Shoujo,マッチ売りの少女
Mawaru Penguindrum,Penguindrum,warupingudoramu,輪るピングドラム
Mayoiga,The Lost Village,Mayoiga,迷家-マヨイガ-
Maze☆Bakunetsu Jikuu (TV),Maze: The Mega-Burst Space,Maze☆Bakunetsu Jikuu (TV),MAZE☆爆熱時空
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,MAZE☆爆熱時空 天変脅威の大巨人
Mazinger Z,Mazinger Z,majingaaZ,マジンガーＺ
Mazinger Z tai Ankoku Daishougun,Genie R Z Obi Dark General,Mazinger Z tai Ankoku Daishougun,マジンガーＺ対暗黒大将軍
Mazinger Z tai Devilman,Mazinger Z vs. Devilman,majingaaZtsuidebiruman,マジンガーＺ対デビルマン
Mazinger Z tai Dr. Hell,Mazinger Z tai Dr. Hell,majingaaZtaidokutaaheru,マジンガーZ隊ドクターヘル
Mazinger ZIP!,Mazinger ZIP!,majingaaZIP!,マジンガーZIP!
Me gumi no Daigo: Kajiba no Baka Yarou,Megumi's Daigo: Kajiba's Idiot Yarou,Me gumi no Daigo: Kajiba no Baka Yarou,め ぐみ の だいご： かじば の ばか やろう
Mechakko Dotakon,Mechanical Boy Dotakon,Mechakko Dotakon,めちゃっこドタコン
Medaka Box,Medaka Box,medakabokkusu,めだかボックス
Medaka Box Abnormal,Medaka Box Abnormal,medakabokkusu abunoomaru,めだかボックス アブノーマル
Medarot,Medabots,medarotto,メダロット
Medarot Damashii,Medabots Spirits,medarottotamashii,メダロット魂
Mega Man,Mega Man,Mega Man,Mega Man
Megami Kouhosei,Candidate for Goddesses,Megami Kouhosei,女神候補生
Meganebu!,Meganebu!,Meganebu!,メガネブ！
Meiken Jolie,Belle and Sebastian,meikenjorii,名犬ジョリィ
Meiken Lassie,Meiken Lassie,meikenrasshii,名犬ラッシー
Meitantei Holmes,Sherlock Hound,Meitantei Holmes,名探偵ホームズ
Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,Sherlock Hound: The Adventure of the Blue Carbuncle / Treasure Under the Sea,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,名探偵ホームズ 青い紅玉の巻/海底の財宝の巻
